排名,书籍,封面,作者,时间,时间（无月日）,出版社,评分,评价人数（人）,售价（元）
15,撒哈拉的故事,https://img3.doubanio.com/view/subject/s/public/s1369343.jpg,三毛 ,2003-8,2003, 哈尔滨出版社 ,9.2,168390,15.80
16,天龙八部,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,金庸 ,1994-5,1994, 生活·读书·新知三联书店 ,9.2,130587,96.00
17,呐喊,https://img9.doubanio.com/view/subject/s/public/s34099286.jpg,鲁迅 ,1973-3,1973, 人民文学出版社 ,9.2,155921,0.36
18,杀死一只知更鸟,https://img3.doubanio.com/view/subject/s/public/s23128183.jpg,[美] 哈珀·李 ,2012-9,2012, 译林出版社 ,9.2,142288,32.00
19,悉达多,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg,[德] 赫尔曼·黑塞 ,2017-1,2017, 天津人民出版社 ,9.3,88616,32.00
20,明朝那些事儿（1-9）,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,当年明月 ,2009-4,2009, 中国海关出版社 ,9.2,167078,358.20
21,邓小平时代,https://img3.doubanio.com/view/subject/s/public/s24516687.jpg,【美】傅高义 (Ezra.F.Vogel) ,2013-1-18,2013, 生活·读书·新知三联书店 ,9.3,66313,88.00
22,失踪的孩子,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,[意] 埃莱娜·费兰特 ,2018-7,2018, 人民文学出版社 ,9.2,77164,62.00
23,新名字的故事,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,[意] 埃莱娜·费兰特 ,2017-4,2017, 人民文学出版社 ,9.2,87686,59.00
24,沉默的大多数,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,王小波 ,1997-10,1997, 中国青年出版社 ,9.1,148195,27.00
25,中国历代政治得失,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,钱穆 ,2001,2001, 生活·读书·新知三联书店 ,9.2,69922,12.00
26,野草,https://img2.doubanio.com/view/subject/s/public/s34099301.jpg,鲁迅 ,1973-3,1973, 人民文学出版社 ,9.5,45215,0.20
27,局外人,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,[法] 阿尔贝·加缪 ,2010-8,2010, 上海译文出版社 ,9.1,231791,22.00
28,人类简史,https://img3.doubanio.com/view/subject/s/public/s27814883.jpg,[以色列] 尤瓦尔·赫拉利 ,2014-11,2014, 中信出版社 ,9.1,195180,68.00
29,平凡的世界（全三部）,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,路遥 ,2005-1,2005, 人民文学出版社 ,9.0,319422,64.00
30,白鹿原,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,陈忠实 ,2012-9,2012, 人民文学出版社 ,9.2,102898,39.00
31,乡土中国,https://img1.doubanio.com/view/subject/s/public/s1762210.jpg,费孝通 ,2006-04-01,2006, 上海人民出版社 ,9.2,85679,38.00
32,围城,https://img3.doubanio.com/view/subject/s/public/s1070222.jpg,钱锺书 ,1991-2,1991, 人民文学出版社 ,9.0,442550,19.00
33,笑傲江湖（全四册）,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg,金庸 ,1994-5,1994, 生活·读书·新知三联书店 ,9.1,109849,76.80
34,罗杰疑案,https://img3.doubanio.com/view/subject/s/public/s25814002.jpg,[英] 阿加莎·克里斯蒂 ,2013-3,2013, 新星出版社 ,9.3,68750,28.00
35,我与地坛,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,史铁生 ,2002-5,2002, 春风文艺出版社 ,9.2,102968,25.00
36,彷徨,https://img3.doubanio.com/view/subject/s/public/s34099293.jpg,鲁迅 ,1973-3,1973, 人民文学出版社 ,9.3,63006,0.37
37,肖申克的救赎,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg,[美] 斯蒂芬·金 ,2006-7,2006, 人民文学出版社 ,9.1,119213,29.90
